SMILES,atom undefined stereo count,bond defined stereo count,complexity,hydrogen bond donors,hydrogen bond acceptors,rotatable bonds,heavy atom count,heavy atom molecular weight,LogP,monoisotopic weight,molar refractivity,total charge,topological polar surface area,quantitative estimate of drug-likeness,molecular complexity index,number of valence electrons,radical electrons,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,domain_status
C=CC(C)c1ccccc1,1,0,198.538112,0,0,2,10,120.11,2.9761,132.0939004,45.054,0,0,0.542539543,198.538112,52,0,4,2,2,4,3,4,4,in-domain
CC(C)CCCc1ccccc1,0,0,198.538112,0,0,4,12,144.132,3.6653,162.1408506,54.218,0,0,0.633422339,198.538112,66,0,4,2,1,4,4,4,4,in-domain
C=C(CCC)c1ccccc1,0,0,221.0534431,0,0,3,11,132.121,3.4999,146.1095504,50.384,0,0,0.611885401,221.0534431,58,0,4,0,1,4,4,4,4,in-domain
CCCCCCC(C)Cc1ccccc1,1,0,237.4750399,0,0,7,15,180.165,4.8356,204.1878008,68.069,0,0,0.557675966,237.4750399,84,0,3,0,0,4,4,4,4,in-domain
C=CCC(C)c1ccccc1,1,0,210.7397365,0,0,3,11,132.121,3.3662,146.1095504,49.671,0,0,0.573425895,210.7397365,58,0,3,4,2,4,4,4,4,in-domain
C/C=C/CCc1ccccc1,0,1,208.7397365,0,0,3,11,132.121,3.1953,146.1095504,49.577,0,0,0.574345834,208.7397365,58,0,3,2,2,4,4,4,4,in-domain
CCCCC/C=C/c1ccccc1,0,1,233.4750399,0,0,5,13,156.143,4.2801,174.1408506,59.618,0,0,0.584353919,233.4750399,70,0,4,0,1,4,4,4,4,in-domain
CC/C=C/c1ccccc1,0,1,196.538112,0,0,2,10,120.11,3.1098,132.0939004,45.767,0,0,0.579649386,196.538112,52,0,4,2,1,4,4,4,4,in-domain
C/C=C(\CC)c1ccccc1,0,1,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,3,2,4,4,4,4,in-domain
CC/C=C(\C)c1ccccc1,0,1,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,3,2,4,4,4,4,in-domain
CC/C=C\c1ccccc1,0,1,196.538112,0,0,2,10,120.11,3.1098,132.0939004,45.767,0,0,0.579649386,196.538112,52,0,4,2,1,4,4,4,4,in-domain
C/C=C(/CC)c1ccccc1,0,1,231.4750399,0,0,2,11,132.121,3.4999,146.1095504,50.384,0,0,0.598689383,231.4750399,58,0,4,3,2,4,4,4,4,in-domain
CCCCCCCC/C=C/c1ccccc1,0,1,271.3496014,0,0,8,16,192.176,5.4504,216.1878008,73.469,0,0,0.506756695,271.3496014,88,0,4,2,1,4,4,4,4,in-domain
C/C=C\c1ccccc1C,0,1,233.5485556,0,0,1,10,120.11,3.02812,132.0939004,45.887,0,0,0.550631302,233.5485556,52,0,3,3,3,4,4,4,4,in-domain
CCc1cccc(F)c1,0,0,193.514053,0,0,1,9,115.086,2.3881,124.0688285,35.778,0,0,0.538862312,193.514053,48,0,4,3,2,4,4,4,4,in-domain
CCC=Cc1ccccc1,0,0,196.538112,0,0,2,10,120.11,3.1098,132.0939004,45.767,0,0,0.579649386,196.538112,52,0,4,2,1,4,4,4,4,in-domain
CC=CCc1ccccc1,0,0,196.538112,0,0,2,10,120.11,2.8052,132.0939004,44.96,0,0,0.542663233,196.538112,52,0,3,2,2,4,2,4,4,in-domain
CC(C)CCCCCc1ccccc1,0,0,223.0534431,0,0,6,14,168.154,4.4455,190.1721507,63.452,0,0,0.581463355,223.0534431,78,0,3,2,1,4,4,4,4,in-domain
Cc1ccc([Sb](=O)(O)O)cc1,0,0,285.0589253,2,1,1,11,253.834,-0.44398,261.9589848,41.6911,0,57.53,0.674893011,285.0589253,60,0,4,1,1,4,4,4,4,in-domain
Cc1ccccc1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Cr],0,0,224.2745154,0,0,0,14,220.103,1.87999,227.9878516,42.9675,0,59.7,0.480540809,224.2745154,72,0,3,3,0,4,4,4,4,in-domain
[Br-].[CH2-]c1ccccc1.[Mg+2],0,0,138.8435008,0,0,0,9,188.286,-1.50801,193.958154,36.655,0,0,0.348825822,138.8435008,44,0,1,3,0,4,4,3,4,in-domain
[2H]c1c([2H])c([2H])c(C([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])c([2H])c1[2H],0,0,522.5566628,0,0,3,9,108.099,2.81,132.1692213,40.531,0,0,0.592984309,522.5566628,48,0,3,0,3,4,4,4,4,in-domain
[2H]c1c(C([2H])([2H])[2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1C([2H])([2H])[2H],0,0,456.0250784,0,0,3,9,108.099,2.61186,132.1692213,40.653,0,0,0.59278874,456.0250784,48,0,3,4,2,4,4,4,4,in-domain
CCCc1ccc(F)cc1,0,0,188.3881692,0,0,2,10,127.097,2.7782,138.0844786,40.395,0,0,0.589109887,188.3881692,54,0,3,3,1,3,4,4,2,in-domain
[2H]C([2H])([2H])C([2H])([2H])c1ccccc1,0,0,274.3359023,0,0,2,8,96.088,2.249,111.1096341,35.82,0,0,0.548781768,274.3359023,42,0,3,4,2,4,4,4,4,in-domain
Cc1ccc(I)c(I)c1,0,0,218.1561776,0,0,0,9,337.885,3.20422,343.8558962,56.613,0,0,0.634526364,218.1561776,48,0,2,4,0,4,4,4,4,in-domain
[CH2-]c1ccccc1.[Zn+]Br,0,0,138.8435008,0,0,0,9,229.371,2.71189,233.9022545,39.828,0,0,0.479842955,138.8435008,44,0,3,3,0,4,4,3,4,in-domain
C[CH-]c1ccccc1.[Zn+]Br,0,0,150.6035799,0,0,1,10,241.382,3.10199,247.9179046,44.445,0,0,0.530606418,150.6035799,50,0,3,3,0,4,4,4,4,in-domain
[CH2-]Cc1ccccc1.[Cl-].[Mg+2],0,0,150.6035799,0,0,1,10,155.846,-1.31361,164.0243197,41.257,0,0,0.357513488,150.6035799,50,0,1,3,0,4,4,3,4,in-domain
I[Hg]Cc1ccccc1,0,0,161.8269363,0,0,2,9,411.571,2.6191,419.9298912,44.166,0,0,0.51169318,161.8269363,44,0,2,4,2,4,4,4,4,out-of-domain
[Br-].[CH2-]c1ccccc1.[Zn+2],0,0,138.8435008,0,0,0,9,229.371,-1.12971,233.9022545,30.901,0,0,0.395030091,138.8435008,44,0,1,3,0,4,4,3,4,in-domain
[CH2-]c1ccccc1.[Li+],0,0,134.3141758,0,0,0,8,91.018,-1.12721,98.07077977,30.901,0,0,0.284424949,134.3141758,36,0,1,3,0,4,4,3,4,in-domain
[Br-].[CH2-]CCc1ccccc1.[Mg+2],0,0,162.4735185,0,0,2,11,212.308,-0.92351,221.9894542,45.874,0,0,0.449191323,162.4735185,56,0,4,0,2,4,4,4,4,in-domain
Cl[Zn+].[CH2-]c1ccccc1,0,0,138.8435008,0,0,0,9,184.92,2.55579,189.9527701,36.754,0,0,0.437238111,138.8435008,44,0,3,3,0,4,4,3,4,in-domain
[CH2-]c1ccc(C)cc1.[Cl-].[Mg+2],0,0,148.1173949,0,0,0,10,155.846,-1.19959,164.0243197,41.392,0,0,0.33426465,148.1173949,50,0,3,3,1,4,4,4,4,in-domain
C[Te]C(C)c1ccccc1,1,0,181.1795714,0,0,2,10,235.699,2.4999,250.0001248,46.475,0,0,0.704906322,181.1795714,54,0,4,2,2,4,4,4,4,in-domain
[2H]c1c([2H])c(C([2H])([2H])[2H])c([2H])c(C([2H])([2H])[2H])c1[2H],0,0,439.1168761,0,0,2,8,96.088,2.30344,116.1410178,35.916,0,0,0.555916912,439.1168761,42,0,4,3,3,4,4,4,4,in-domain
