SMILES,FP,Parent_TIC_Index,Parent_TIC_SMILES,Similarity_to_Parent
C=CC(C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895b30>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.375
CC(C)CCCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895ba0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4
C=C(CCC)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895c10>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.34615384615384615
CCCCCCC(C)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895c80>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3793103448275862
C=CCC(C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895cf0>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.3333333333333333
C/C=C/CCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895d60>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.4
CCCCC/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895dd0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.35714285714285715
CC/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895e40>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.375
C/C=C(\CC)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895eb0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.375
CC/C=C(\C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895f20>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.34615384615384615
CC/C=C\c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b895f90>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.375
C/C=C(/CC)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d040>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.375
CCCCCCCC/C=C/c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d0b0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.3448275862068966
C/C=C\c1ccccc1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d120>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.30434782608695654
CCc1cccc(F)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d190>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.5454545454545454
CCC=Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d200>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.375
CC=CCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d270>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.43478260869565216
CC(C)CCCCCc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d2e0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.37037037037037035
Cc1ccc([Sb](=O)(O)O)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d350>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.38095238095238093
Cc1ccccc1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Cr],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d3c0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.7333333333333333
[Br-].[CH2-]c1ccccc1.[Mg+2],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d430>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.3333333333333333
[2H]c1c([2H])c([2H])c(C([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])c([2H])c1[2H],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d4a0>,19,[H]Oc1c([H])c([H])c(C(c2c([H])c([H])c(O[H])c([H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],0.12903225806451613
[2H]c1c(C([2H])([2H])[2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1C([2H])([2H])[2H],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d510>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.21052631578947367
CCCc1ccc(F)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d580>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.28
[2H]C([2H])([2H])C([2H])([2H])c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d5f0>,55,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.45454545454545453
Cc1ccc(I)c(I)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d660>,146,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],0.4
[CH2-]c1ccccc1.[Zn+]Br,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d6d0>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.3157894736842105
C[CH-]c1ccccc1.[Zn+]Br,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d740>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.35
[CH2-]Cc1ccccc1.[Cl-].[Mg+2],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d7b0>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.42857142857142855
I[Hg]Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d820>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.4090909090909091
[Br-].[CH2-]c1ccccc1.[Zn+2],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d890>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.3333333333333333
[CH2-]c1ccccc1.[Li+],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d900>,101,[H]Oc1c([H])c([H])c([H])c([H])c1[H],0.35294117647058826
[Br-].[CH2-]CCc1ccccc1.[Mg+2],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d970>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.391304347826087
Cl[Zn+].[CH2-]c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89d9e0>,17,[H]c1c([H])c([H])c(C([H])([H])Cl)c([H])c1[H],0.3333333333333333
[CH2-]c1ccc(C)cc1.[Cl-].[Mg+2],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89da50>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3684210526315789
C[Te]C(C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dac0>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.3181818181818182
[2H]c1c([2H])c(C([2H])([2H])[2H])c([2H])c(C([2H])([2H])[2H])c1[2H],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89db30>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.17391304347826086
[2H]c1c([2H])c([2H])c(C=C)c([2H])c1[2H],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dba0>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.36363636363636365
[2H]C=Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dc10>,126,[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],0.631578947368421
[13CH3]c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x15392b89dc80>,134,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],1.0
